Timestamp,What is your gender?,Which Faculty/Program are you in? ,Have you heard of ChatGPT before?,Have you experimented with ChatGPT? ,What is your year of study?,Are you an Undergraduate or Graduate Student?,What is your age?,How often do you use ChatGPT? ,Do you think Post-Secondary schools should allow the use of ChatGPT?,Are you currently employed?,Where do you attend school?,What should ChatGPT be used for? (Select multiple answers),"On a scale of 1-5, how accurate is the information/answers provided by ChatGPT?","On a scale of 1-5, how much do you rely on ChatGPT for work?","On a scale of 1-5, are you concerned that the use of ChatGPT for academic purposes may promote academic dishonesty or cheating?"
3/7/2023 15:05:50,Male,Arts/Humanities,Yes,No,1,,17-19,Never,No,"Yes, employed part-time","North America (Canada, United States, Cuba...)",Should never be used at all,1,1,5
3/19/2023 21:01:33,Female,Arts/Humanities,Yes,Yes,1,,17-19,Once a month or less,Maybe/Not sure,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To generate new ideas/topics, To get feedback on work/writing",2,2,2
3/19/2023 22:32:30,Female,Arts/Humanities,Yes,No,1,,17-19,Never,No,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics, For entertainment purposes",3,1,3
3/20/2023 0:35:51,Male,Arts/Humanities,Yes,Yes,2,,17-19,Once a month or less,No,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",3,2,4
3/19/2023 21:55:41,Female,Arts/Humanities,Yes,Yes,1,,17-19,Once a week,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, For entertainment purposes",4,2,2
3/20/2023 13:49:59,Female,Arts/Humanities,Yes,Yes,4,,23-25,Once a month or less,Maybe/Not sure,"Yes, employed part-time","Europe (United Kingdom, Germany, France, Italy...)","To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",4,2,3
3/20/2023 0:16:35,Female,Arts/Humanities,Yes,Yes,3,,20-22,Once a month or less,Yes,"No, just a student","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new",,2,3
3/19/2023 21:55:05,Female,Business/Commerce,Yes,No,2,,17-19,Never,No,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics, To learn/try something new, For entertainment purposes",2,1,4
3/19/2023 21:09:39,Male,Business/Commerce,Yes,No,1,,17-19,Never,Maybe/Not sure,"Yes, employed part-time","North America (Canada, United States, Cuba...)",To learn/try something new,2,1,1
3/19/2023 21:12:51,Male,Business/Commerce,Yes,Yes,1,,17-19,Once a day,Maybe/Not sure,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with coding/programming, To get feedback on work/writing",2,2,3
3/19/2023 22:32:36,Male,Business/Commerce,Yes,Yes,1,,17-19,Once a week,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",2,3,1
3/20/2023 10:46:12,Male,Business/Commerce,Yes,Yes,1,,17-19,Several times a week,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",2,2,4
3/19/2023 18:42:37,Female,Business/Commerce,Yes,Yes,2,,20-22,Several times a day,No,"Yes, self-employed","North America (Canada, United States, Cuba...)",Should never be used at all,3,2,5
3/19/2023 21:10:29,Female,Business/Commerce,Yes,Yes,1,,17-19,Once a month or less,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)",To generate new ideas/topics,3,1,3
3/19/2023 21:59:02,Female,Business/Commerce,Yes,Yes,2,,17-19,Once a month or less,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To help with homework/assessments when they are difficult, To help with coding/programming, To generate new ideas/topics, To learn/try something new, To get feedback on work/writing, For entertainment purposes",3,1,3
3/20/2023 8:21:01,Female,Business/Commerce,Yes,No,2,,17-19,Never,Maybe/Not sure,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To learn/try something new, To get feedback on work/writing",3,3,4
3/20/2023 11:12:49,Female,Business/Commerce,Yes,Yes,3,,20-22,Once a week,Yes,"Yes, employed part-time","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new, To get feedback on work/writing",3,1,2
3/20/2023 13:43:53,Female,Business/Commerce,Maybe/Not sure,No,1,,17-19,Never,Maybe/Not sure,"No, just a student","North America (Canada, United States, Cuba...)","To generate new ideas/topics, To learn/try something new, For entertainment purposes",3,1,3
